GENE	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_C11_419730	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: GSM253206	Liver_Cancer.Cell.Line_Low_PLC-PRF-5_Hepatocellular.Carcinoma: MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A04_454756
PIN1P1	48.74	78.17	76.41
PIN4	208.76	163.17	160.22
PIP	81.25	107.21	89.82
PIP4K2A	354.83	282.38	366.48
PITPNA	363.57	298.71	317.12
PITX1	70.58	47.49	34.23
PITX2	25.07	16.82	12.82
PITX3	69.93	49.45	135.53
PKD1	65.94	68.57	83.62
PKD2	147.93	141.96	226.98
PKLR	41.15	65.11	43.49
PKHD1	37.65	41.14	29.13
PKM	3081.46	1639.23	3887.16
PKNOX1	78.46	81.53	65.79
PKP1	41.51	68.22	38.63
PKP2	318.40	172.18	95.25
PLA2G1B	17.04	17.14	18.00
PLA2G2A	94.50	97.57	98.91
PLA2G4A	138.28	20.91	16.68
PLA2G5	17.88	26.16	24.17
PLAG1	83.45	95.90	31.19
PLAGL1	288.05	552.30	370.36
PLAGL2	186.21	293.74	145.00
PLAT	29.57	32.37	44.52
PLAU	102.68	52.83	62.60
PLAUR	74.74	89.92	106.79
PLCB2	95.34	136.12	101.05
PLCB3	86.65	69.88	134.35
PLCB4	22.01	27.01	14.40
BCL11A	54.26	59.10	51.29
CPXCR1	12.10	14.06	13.21
BTBD1	824.46	654.80	1037.50
PLCD1	249.40	245.72	290.40
SPA17	140.62	65.05	207.43
IL17D	53.91	48.78	28.71
NUDT9	362.24	347.94	962.20
CHIC1	24.51	32.89	49.88
TM6SF2	71.04	88.78	47.93
TM6SF1	37.15	32.04	24.97
UBASH3A	14.74	13.42	18.93
ZFYVE1	59.14	44.90	73.13
PLCL1	25.53	24.96	22.25
LRP1B	18.62	14.74	11.27
PANK1	214.14	476.85	158.78
SHC3	46.06	45.26	45.57
PLCG1	259.84	287.58	296.05
PLCG2	125.23	117.74	173.43
NUP54	493.77	665.23	619.65
TPCN1	161.20	184.15	272.63
PLD1	250.40	197.09	205.44
PLD2	93.49	128.52	131.99
PLEC	73.78	52.50	122.28
ATP6V0B	1245.49	1257.90	1519.94
CLIC5	33.05	35.32	30.83
STX18	748.11	648.74	471.17
PLG	188.18	243.59	21.37
PLEK	78.36	83.18	75.20
SERPINF2	279.65	339.96	49.03
PLIN1	103.72	129.16	106.30
PLK1	333.98	710.75	407.29
FXYD1	28.50	30.64	28.42
FXYD3	87.79	112.93	116.25
ATP6V1G2	43.26	41.22	40.56
PLN	15.14	16.45	16.27
PLOD1	517.85	403.88	1209.09
PLOD2	841.02	559.70	144.93
PLP1	16.02	13.52	20.20
PLP2	72.79	88.24	2604.34
PLRG1	1338.59	868.57	1357.75
PLS1	427.59	300.91	779.39
PLS3	2456.35	2090.16	2689.09
PLSCR1	413.72	218.17	372.19
ATP6V0A1	279.89	287.50	318.40
PLTP	296.79	240.67	54.39
MBD3	356.12	357.30	512.67
ADAM22	37.22	33.72	36.83
PLXNA1	166.69	118.12	160.14
PLXNA2	98.15	110.61	70.50
BCO1	18.87	21.65	24.18
PRKAG3	53.51	54.49	46.34
PTOV1	552.95	397.36	676.34
S1PR5	25.42	26.64	37.34
PLXNB1	170.76	228.98	152.10
PLXNB3	43.89	73.06	72.96
PMAIP1	26.47	22.90	304.52
PMCH	85.76	63.29	49.18
PNOC	32.00	36.96	32.48
PMCHL1	80.19	204.05	138.02
PMCHL2	34.36	40.90	25.99
PML	70.73	62.13	72.68
PMM1	219.91	124.60	249.40
PMP2	15.22	14.59	15.99
PMP22	436.82	161.51	124.10
PMS1	563.51	626.34	521.38
PMS2P1	386.28	495.76	374.62
ATP6AP1	1119.47	846.64	1863.89
RIPPLY3	23.93	20.84	20.70
FXYD7	74.30	127.29	91.15
FXYD6	84.62	105.27	92.19
FXYD5	37.98	49.49	234.04
FXYD4	15.63	13.61	27.52
P2RY13	22.28	25.34	23.93
PMS2P4	65.60	63.16	79.89
GPR84	23.82	28.95	17.82
IL20RA	21.54	22.49	25.81
IL20RB	30.51	35.19	19.19
FGFRL1	106.15	71.74	91.37
GPR87	14.31	15.62	15.79
C11orf24	1442.94	1071.79	860.66
CDHR5	24.83	26.81	26.57
ATP7A	49.41	71.89	116.82
MYO3A	22.16	32.57	23.04
DUOX1	40.61	64.33	47.32
RAB4B	131.68	145.52	326.81
RAB24	226.87	298.30	216.06
PELO	570.78	544.20	404.00
SLCO1C1	26.18	27.03	28.50
PPIL3	855.78	838.23	574.71
EXOSC9	345.35	287.26	391.45
FTHL17	12.36	17.75	17.43
CNTN5	17.46	18.69	15.34
CSNK1G1	96.31	96.55	136.80
A4GALT	69.90	44.28	75.94
EXOSC10	419.72	447.27	343.48
PRRX1	37.83	40.55	27.19
CPSF2	211.32	243.22	228.22
ATP5O	3950.99	3476.45	6387.34
ACP2	497.03	458.48	928.66
BRWD1	55.36	45.77	57.96
SLC37A1	62.26	44.03	103.77
RBM11	12.03	13.67	41.98
PCBP3	57.00	69.44	62.24
C21orf58	48.35	61.64	59.45
YBEY	139.37	130.62	523.52
SMIM11A	21.39	39.65	87.81
C21orf62-AS1	29.78	32.91	29.23
MIS18A	409.41	311.63	580.80
PNLIP	19.31	24.89	27.91
PNLIPRP1	45.33	56.69	64.59
TSPEAR	19.66	21.28	21.33
PNLIPRP2	16.95	14.31	20.05
SETD4	108.51	118.84	199.23
FAM3B	105.20	172.23	47.18
PNMT	67.92	69.04	87.19
ATP7B	425.02	815.02	355.25
RIPK4	72.64	78.98	119.49
CLIC6	65.07	41.71	39.70
GSAP	81.28	48.83	81.36
TLR9	57.39	39.92	41.03
POLE3	1087.73	897.40	650.14
CHRAC1	192.16	253.40	319.97
GPR88	15.59	17.75	16.92
PNN	648.16	697.38	512.85
UBL3	580.36	545.26	417.26
SEPT5	43.60	30.45	30.71
LURAP1	70.50	85.05	73.83
LOC541469	66.24	107.06	60.45
MRPL39	494.87	488.46	889.53
C21orf91	164.78	126.54	266.21
SEPT4	27.82	28.22	35.98
C8orf58	119.71	89.76	136.08
DCUN1D1	201.30	111.03	155.34
NANS	1092.34	806.76	693.14
CYCS	134.08	198.13	85.69
ERRFI1	2291.22	1956.69	1938.33
KCNK10	31.56	50.84	41.81
TREM2	76.61	115.22	78.63
PODXL	52.29	43.14	259.77
TREM1	36.53	56.30	53.95
SNTG1	40.17	38.69	39.15
POLA1	285.75	280.90	503.62
POLB	1193.02	1376.13	1224.52
POLD1	387.62	365.24	488.63
POLD2	524.54	944.82	976.38
POLE	237.34	237.54	351.41
POLE2	816.38	600.53	807.15
POLG	170.84	154.33	156.51
POLH	58.00	38.60	42.57
POLR2A	76.38	57.10	62.76
POLR2B	1646.40	1780.29	1378.61
GPR173	35.06	43.51	30.91
GPR85	22.32	21.02	21.96
POLR2C	1126.08	1064.31	1243.42
GNG2	51.73	58.03	49.39
GDAP1	77.36	24.64	120.87
POLR2D	276.09	223.26	322.49
DPM3	252.13	291.85	444.43
SOX18	8.21	11.75	14.77
POLR2E	1718.34	1677.74	1229.45
POLR2F	701.31	829.44	583.67
CYTL1	25.97	26.74	22.54
WNT4	36.52	34.15	30.14
HAO1	27.17	34.65	36.54
POLR2G	2071.99	1759.20	2228.88
POLR2H	1220.62	849.05	1478.28
TERF2IP	964.61	652.48	361.59
POLR2I	1002.02	1057.69	1418.65
POLR2J	451.10	563.51	406.89
SLC38A2	3344.56	4030.94	4390.90
POLR2K	1356.43	1267.35	923.65
NLGN3	43.78	75.47	63.37
SIAE	127.38	75.33	105.23
POLR2L	218.56	258.80	318.31
TAS2R5	41.49	30.51	34.70
DNAJC10	436.10	309.95	1650.06
YIPF1	234.75	209.88	372.53
GAR1	780.20	1241.44	1074.02
SSH1	19.62	17.56	20.72
HCG4	21.45	21.00	25.74
SH3TC1	142.19	185.94	46.88
SEMA5B	153.44	221.15	203.59
GFOD1	104.60	96.36	93.39
RBM27	312.89	292.18	255.50
POMC	33.11	36.84	39.51
SASH3	49.96	68.86	74.22
KCTD5	318.14	244.43	224.88
ANLN	770.53	996.21	775.78
PON1	69.45	42.03	26.43
RIN2	535.04	1169.28	111.57
ATAD2B	90.36	87.83	81.08
FBXO42	235.00	325.47	319.33
MOV10L1	29.57	38.20	29.26
TAF7L	16.37	20.07	18.68
PON2	3912.30	3104.19	5247.81
MRPS21	1244.46	1813.17	1604.27
FBXW5	260.33	251.13	277.76
CCSER2	134.44	116.82	112.14
FAM134B	31.22	41.75	37.83
XRN1	81.39	60.32	57.77
ETAA1	349.51	279.05	376.84
ANKIB1	254.62	314.50	555.10
MIOS	191.69	245.08	319.68
PON3	297.04	149.96	1588.89
MIEF1	354.17	366.94	257.35
TOLLIP	146.29	143.19	113.54
KRT20	28.17	27.16	864.61
NLE1	151.81	191.78	133.04
RNF216	135.66	184.29	178.14
PLEKHA5	602.53	667.03	523.92
FAM64A	808.89	842.89	574.95
POR	486.70	714.21	484.75
CHPF2	216.56	283.48	310.92
TRMT13	182.73	287.42	139.21
DGCR8	180.13	255.86	172.70
FAM105A	73.21	47.86	52.24
NEURL1B	159.90	226.80	103.62
C11orf71	109.39	141.06	142.78
TMX3	238.59	189.02	259.63
PRMT7	153.17	113.80	101.51
HEATR5B	123.29	134.53	195.08
SMOX	151.63	142.02	82.46
TMCO1	1516.89	1469.69	1562.46
POU1F1	12.01	12.81	10.31
RBM47	131.81	102.09	200.34
ZDHHC13	182.42	54.44	409.30
CPVL	540.86	762.71	51.49
DHX29	478.41	674.14	528.11
ADAMTSL4	135.98	145.55	82.85
EPB41L4A-AS2	26.86	27.68	29.81
RHOF	133.57	110.38	231.14
POU2AF1	111.99	52.63	23.05
PCDH18	31.29	55.03	46.20
HMGCLL1	13.79	18.03	16.74
EXOSC4	561.72	553.79	425.17
DDX4	17.87	19.22	18.72
PUS7	932.07	896.90	933.82
APBB1IP	129.16	117.70	412.23
POU2F1	178.81	198.24	194.24
CCDC93	151.95	106.62	89.24
WDR44	96.68	92.19	193.33
ANKRD16	95.85	124.10	201.09
ASNSD1	775.78	676.95	728.66
POU2F2	49.52	45.52	53.63
C1orf218	192.44	223.50	166.00
MIER2	150.03	169.79	124.84
USP53	177.05	116.55	59.66
MRPL50	469.34	525.12	244.23
CCHCR1	68.63	81.64	130.96
EXOC6	224.26	236.73	252.34
ROBO4	36.87	47.12	59.70
NDUFB11	1736.42	1054.69	1607.61
POU3F1	28.26	27.17	31.77
FAM193B	148.72	191.39	141.20
DDIT4	381.57	1445.75	594.82
RC3H2	179.69	242.83	156.62
TOMM7	1863.89	2318.22	5765.38
CRCT1	15.77	17.45	20.86
MTMR12	102.30	107.98	107.63
RNF186	34.52	46.38	44.36
SDK2	34.24	38.80	44.99
POU3F2	29.53	30.11	28.94
NECAB2	81.53	154.85	102.49
MAGEL2	34.14	32.13	30.47
GNL3L	127.69	78.66	120.70
DKFZP434I0714	138.99	148.33	84.77
WDR5B	157.88	154.22	111.86
DDX49	420.98	594.57	350.24
ING3	145.81	209.76	103.98
SGTB	88.76	70.20	53.31
SPATA6	30.48	25.63	48.32
POU3F3	26.96	25.66	22.05
EPB41L4B	72.77	85.07	53.40
DLL4	140.76	163.09	151.56
POU3F4	22.61	26.13	22.91
UGT1A8	21.22	24.31	26.83
UGT1A6	25.69	29.14	24.38
POU4F1	28.03	20.56	60.38
EGLN1	84.45	37.68	83.27
GNB1L	105.06	66.46	61.54
LZTFL1	226.22	168.13	97.01
EQTN	16.25	14.26	15.83
MXRA8	480.97	358.07	120.33
POU4F2	14.90	17.66	17.01
L1TD1	25.38	26.36	25.85
POU4F3	24.08	17.43	21.74
ATR	177.18	223.03	195.46
NDFIP2	796.87	659.53	922.50
DDX56	424.20	566.41	548.63
INO80	251.93	332.20	315.59
CCNJ	201.75	588.26	96.31
FBXL19	105.45	108.48	167.34
VSIG10	70.83	58.97	100.11
ARL15	39.39	28.90	17.10
PAF1	274.07	215.24	334.07
PARP14	80.88	90.66	83.76
HES2	25.81	36.54	39.33
MAP10	23.18	18.70	15.20
FAM63B	66.65	54.70	100.22
POU6F1	44.13	41.68	62.80
PPA1	4157.79	5100.42	4172.51
PPARA	70.13	129.47	85.18
PCDHB18P	54.75	20.90	28.16
PCDHB17P	13.32	15.19	14.81
TBC1D13	261.52	314.95	203.33
WDR74	536.26	627.99	329.79
TMEM106B	357.20	528.11	368.19
RSBN1	141.44	177.49	102.28
LRRN3	52.11	48.09	73.25
CRLS1	952.52	1097.80	686.73
GTPBP2	101.07	109.54	160.96
CROT	195.56	195.02	269.90
PPARD	173.00	186.87	273.24
ZNHIT6	312.26	283.40	467.36
P4HTM	50.14	88.75	356.78
MANSC1	427.86	574.71	585.57
PPARG	224.19	400.79	188.84
MED1	251.39	313.06	242.51
ATRX	202.36	110.82	250.92
RRN3	348.88	408.76	340.05
PDP1	69.64	57.94	203.02
GPN2	255.57	316.40	257.01
MARCH5	301.94	308.43	230.29
PPEF2	11.82	13.70	12.33
CNGB3	18.99	18.84	17.75
RBFOX1	46.61	63.69	50.19
SLC6A20	20.80	25.31	30.64
BTN2A3P	53.38	42.84	50.42
PPAT	516.10	597.54	272.50
OTUD4	42.70	38.02	47.36
NKX1-1	43.63	86.56	71.92
TMED9	3096.67	3708.19	2694.31
SLC35F2	53.34	99.95	358.84
RAB39A	64.01	87.46	74.42
MPHOSPH8	211.91	184.96	626.90
FEV	55.80	84.09	54.41
XAF1	45.32	53.67	44.59
PPBP	19.90	20.05	31.48
LEPROT	799.41	815.93	1120.32
LY6K	31.46	34.63	36.51
DKFZp566H0824	32.34	45.42	50.62
EPDR1	150.21	49.10	289.12
FBLIM1	146.36	176.53	93.22
FNDC8	25.23	29.53	35.46
IL17RD	72.10	53.13	66.46
FAM20A	35.20	30.59	25.71
KLHDC4	160.17	131.27	176.57
PPEF1	23.83	29.50	33.57
PCSK4	79.55	96.40	121.73
GRAMD1C	65.78	24.02	29.64
ROPN1	35.75	27.60	36.50
ZRANB1	177.97	290.64	209.60
TRIM44	162.14	102.56	337.05
BTG4	18.77	26.21	16.03
HYDIN	31.92	38.09	35.43
DIRAS2	12.08	14.94	12.47
CTSA	899.01	1051.84	2358.25
PPP1R12C	123.67	131.30	123.67
CFAP46	21.47	17.46	22.13
RNF111	233.60	278.59	205.13
NSMCE4A	462.18	581.28	500.87
ALKBH4	114.06	93.79	119.15
BORCS6	90.03	68.26	76.20
DNAJB12	166.85	194.05	197.94
PPIA	699.99	924.16	556.18
TET2	36.28	48.19	38.23
TRPM4	79.75	32.58	80.44
BNC2	30.09	35.28	36.34
MED18	56.41	48.37	48.98
DCHS2	30.79	29.75	17.11
MBTD1	16.93	13.75	13.61
PPIB	4217.58	3447.18	8370.51
KIF1A	38.94	51.68	66.49
KLHL24	81.32	40.79	59.64
HAUS6	109.69	121.21	43.29
TRIT1	310.92	282.91	353.43
CNNM2	59.66	63.62	73.61
AHI1	152.51	121.50	189.64
ZNF586	221.95	213.98	205.40
DYM	196.30	256.80	286.78
SAMD9	20.90	17.44	59.86
PPIC	460.42	312.26	1045.30
GIPC2	46.86	41.41	14.49
ZNF562	164.05	177.05	137.92
AFTPH	474.35	433.74	440.84
KLHL28	103.46	106.69	60.00
QPCTL	55.18	37.29	69.93
GATAD2A	1053.96	1304.25	662.56
ZNF280D	62.35	62.41	52.06
ZCCHC10	245.28	181.43	248.67
PPID	947.18	589.19	788.85
NDE1	116.53	130.18	126.72
ERCC6L	157.65	113.87	181.17
TRPM7	102.82	139.48	160.69
SWT1	133.32	121.93	81.37
CDHR2	114.22	81.11	95.94
GIN1	114.65	98.78	80.78
NXPE4	58.70	74.77	57.26
BCAS3	143.99	99.13	111.62
ASPN	43.20	52.41	34.31
NUP62CL	108.44	78.11	92.91
BEST2	37.96	39.40	44.81
VPS13C	66.61	64.43	83.09
GDAP2	69.48	82.89	111.49
BSPRY	48.19	58.27	43.39
WBP1L	275.50	348.16	340.95
LRRC49	64.65	35.18	108.79
APTX	304.35	305.39	269.60
BIVM	82.69	43.87	120.67
MFSD6	129.31	76.93	180.01
SYTL2	97.95	67.51	58.49
ESRP1	25.68	23.18	24.64
SIDT1	16.13	22.64	20.55
ARHGEF38	36.43	60.35	50.36
DEF8	730.43	541.87	360.69
FBXL12	698.35	643.01	388.62
ANKRD49	334.25	414.38	433.89
PAQR5	53.68	33.57	116.28
FAM83E	34.71	28.51	37.13
FAM46C	54.47	27.34	43.23
GON4L	144.40	207.69	115.17
GDPD2	100.57	127.78	111.14
PGPEP1	133.42	195.61	126.57
ELP6	424.05	327.97	266.80
MS4A12	22.98	27.52	22.02
SNRK	321.08	329.01	208.92
CC2D1A	74.61	71.83	92.85
TOR4A	264.72	311.55	91.73
DNAJC25	452.82	356.66	176.84
GPATCH4	727.20	662.83	513.81
PPP1R14D	102.00	146.29	90.70
TMEM214	433.89	527.75	682.89
TMEM104	103.62	139.89	132.97
EPS8L1	49.56	70.12	141.13
QRICH1	673.81	702.96	513.42
PIGG	875.10	1056.15	739.19
PALMD	108.14	208.38	28.30
FNBP1L	308.26	450.51	462.66
CNTLN	58.45	70.76	37.89
DCAF16	368.52	355.67	167.14
ZCCHC2	111.21	295.05	180.81
DPP8	879.72	510.76	973.81
ST7L	75.99	87.40	45.68
BCOR	108.59	103.48	124.87
TEX10	501.05	486.54	426.44
ANKHD1	299.14	411.03	281.21
CWC25	155.49	186.59	297.31
RETSAT	354.93	184.06	396.59
TBC1D8B	203.28	266.65	93.56
LPPR1	232.34	33.88	26.89
UHRF1BP1	362.14	506.07	394.56
NSUN2	391.07	554.25	434.20
ALKBH5	356.44	253.81	239.40
INO80D	115.60	173.46	133.69
NCAPG2	495.42	440.38	452.19
MTMR10	152.96	202.81	130.62
RNF43	165.87	92.97	212.23
PQLC2	103.91	136.61	189.97
CASZ1	48.88	36.94	51.52
ELOVL2	282.30	412.91	593.33
PXK	86.27	62.36	58.90
LAX1	41.89	53.39	42.79
CDKAL1	25.85	15.74	14.80
TTC19	670.74	439.19	566.17
MKS1	84.72	96.70	85.67
WHSC1L1	135.28	147.69	140.62
CYP2W1	40.71	32.95	46.04
FAM208B	235.19	284.33	294.88
SPDL1	853.35	823.54	306.70
SEMA4C	785.95	577.99	508.32
RPP25	119.12	94.85	615.20
FOCAD	295.29	297.12	131.12
YTHDF1	1079.99	1046.75	1041.75
TMEM260	197.73	267.87	90.96
CMTM6	2078.03	1628.58	1068.00
DNAAF5	152.03	157.97	449.10
DUS2	171.43	183.23	176.31
CHTF8	844.76	802.41	929.82
RASIP1	15.36	18.51	20.76
LIME1	80.78	147.72	74.47
ZSCAN32	117.43	106.40	100.24
UBE2R2	394.07	408.62	565.31
CHCHD3	576.79	671.06	603.83
IMPAD1	344.82	280.20	280.35
TMEM161A	835.44	1073.27	1100.16
HAUS4	337.33	375.33	487.21
TRMT10C	689.26	736.63	527.75
EXD3	30.47	30.91	30.10
RHBDL2	19.00	23.40	20.56
KANSL2	561.91	568.02	371.73
DUSP23	92.04	113.19	349.20
ADPRHL2	428.57	416.02	566.41
SOHLH2	16.67	27.23	292.66
SARS2	174.59	253.55	296.46
COMMD4	931.56	910.30	1210.01
PPL	170.25	105.13	122.68
OCIAD1	453.45	513.64	1761.27
RNF125	17.85	17.26	34.88
FAM206A	724.33	719.08	351.09
DNAJC28	18.37	17.31	41.59
SLC41A3	196.75	205.87	195.02
LPCAT2	40.22	58.95	50.17
MRPL16	1628.58	1393.79	793.01
SDHAF2	764.25	644.71	370.93
PPM1A	231.14	225.47	186.96
COMMD8	1169.28	1181.09	2399.30
TRNAU1AP	81.08	98.55	99.04
C1orf27	139.34	161.79	165.95
FAM120C	44.63	58.26	99.07
C1orf109	144.54	299.31	169.87
PARP16	206.13	265.49	494.32
TXNL4B	191.25	221.72	180.22
TMEM160	584.15	601.32	486.33
ODAM	66.03	25.08	37.74
PPM1B	459.43	524.14	532.97
GEMIN8	92.02	72.71	98.22
SSH3	377.65	238.34	328.53
TIPIN	416.31	372.19	462.82
UCKL1	180.49	158.43	206.60
C1orf56	105.47	151.56	122.16
PIGX	313.41	231.14	559.04
TMEM70	1268.32	1059.82	902.70
C4orf27	382.52	196.35	323.23
PPM1G	385.42	407.29	500.49
TTC12	47.61	31.50	83.81
BANP	248.72	272.12	220.98
TMEM132A	126.03	115.06	105.59
CPSF3L	305.11	308.79	377.18
THG1L	92.10	83.22	137.69
C20orf27	433.47	473.33	422.94
SLC25A38	619.39	559.04	34.14
SLC35F6	187.29	200.13	232.76
HRASLS2	57.17	54.35	65.15
C2orf42	108.64	142.43	124.60
NMRK1	138.02	79.18	210.26
CLN6	216.39	269.68	392.32
PINX1	124.84	88.94	106.67
HCFC1R1	241.80	254.83	400.29
ULK4	54.50	61.73	63.23
C1orf123	417.11	337.14	441.57
ACSM5	32.48	26.12	29.03
ZNF770	43.17	37.68	34.02
PPOX	167.14	130.64	229.76
C1orf159	82.46	121.70	112.74
ZSCAN2	122.22	127.27	92.89
GID8	480.80	506.81	313.32
OXSM	358.72	402.07	284.17
MARC2	213.16	111.14	191.01
TESC	501.78	435.34	2710.98
AURKAIP1	1272.63	1492.79	2028.22
PPP1CA	4563.74	3730.62	1633.90
AUH	485.66	406.89	164.57
ACP5	95.64	63.27	46.02
TUG1	760.39	641.32	594.07
TTC22	24.75	27.44	25.96
TMCO3	326.42	227.86	518.25
PAK1IP1	412.23	413.17	466.07
LAMTOR1	994.89	971.99	2075.01
RMND1	421.68	248.67	257.28
TRMT61B	496.69	364.91	533.19
FAM118A	145.38	150.21	59.13
HERC6	28.19	43.47	139.98
C19orf24	433.17	482.50	579.15
PPP1CB	548.86	542.51	561.25
PARPBP	107.16	65.81	125.08
PIH1D1	987.82	1099.40	615.45
PPP2R3C	352.58	327.19	267.15
CCDC109B	167.22	99.83	541.87
STX17	116.55	106.27	102.99
PRPF39	331.71	249.33	201.86
C14orf119	1757.12	1575.51	849.99
LINC00483	13.02	18.88	18.04
PPP1CC	4527.19	4217.58	4358.45
TTC38	388.62	580.12	198.83
PID1	115.49	88.33	19.39
PHIP	580.60	444.27	497.59
BANK1	55.89	40.17	65.35
FLJ20712	26.50	34.28	32.66
TMEM255A	14.51	12.39	11.44
HEATR3	108.87	120.64	127.63
C17orf80	147.43	147.22	148.15
PPP1R1A	57.65	88.63	46.85
FBXO34	506.99	415.21	350.97
USP47	177.75	117.18	147.00
SLC35A5	367.50	355.25	173.21
FKBP14	137.03	161.98	281.76
MOCOS	197.54	160.76	248.53
NOL8	566.64	435.07	378.36
CCDC40	45.68	33.05	44.24
PTCD3	286.86	232.94	223.96
CDCA4	458.79	458.95	534.22
TRMT12	376.84	354.93	420.57
EPN3	41.29	25.53	22.19
PLEKHB2	669.20	490.39	590.42
VPS37C	487.92	511.54	411.03
C19orf60	330.09	310.21	242.96
PPP1R2	546.09	281.52	1720.37
NRDE2	42.47	31.85	48.11
MRPL20	1897.78	2190.28	2810.48
ATG16L1	154.62	145.34	93.29
ZWILCH	990.97	692.47	940.77
AIM1L	60.18	76.85	61.96
SUSD4	105.40	82.58	48.74
WIPI1	353.97	187.85	459.43
ZCWPW1	99.68	105.71	116.55
LINC01420	47.59	69.65	324.73
SPATA6L	28.94	25.57	24.23
SLC52A1	30.24	31.52	35.82
PDPR	205.91	200.39	104.99
ENOX1	83.87	32.59	43.20
TMEM248	448.05	444.12	678.17
PPP1R3A	39.30	13.49	12.87
DET1	243.86	248.47	135.34
C9orf40	149.67	323.41	201.24
RNF31	213.10	188.98	268.45
OXR1	170.71	144.44	111.47
UACA	84.55	44.59	44.66
TMEM45A	458.95	327.67	416.02
FEZF2	13.27	14.69	14.00
PPP1R3C	191.45	167.63	95.98
TAPBPL	49.28	53.22	39.80
IFT57	112.77	67.12	111.05
ARGLU1	212.78	219.46	307.30
KIF26B	45.75	39.82	36.53
SOBP	137.56	177.01	109.16
CXorf57	138.72	126.99	246.05
CCDC186	87.66	33.95	38.19
SLC38A4	101.39	242.19	14.06
MED9	111.26	108.66	76.31
TMEM51	143.19	106.79	230.83
WDYHV1	237.85	220.19	455.81
GPATCH1	118.59	192.11	161.55
SAMD4B	125.19	155.72	174.62
EBLN2	138.15	139.71	89.18
PPP1R3D	35.81	39.11	93.81
AUP1	717.68	748.52	1675.88
WDR70	463.78	582.49	184.96
ATP5SL	1046.75	1114.59	887.44
ATG2B	70.33	64.18	120.02
RALGPS2	30.10	29.78	44.09
GPATCH2	147.65	147.11	182.73
SLFN12	109.04	50.03	29.63
ANO1	20.54	16.62	18.98
BSDC1	164.94	213.16	151.85
AGGF1	223.50	219.12	317.94
PPP1R7	559.04	564.61	404.78
MAGOHB	168.32	152.10	145.73
PLEKHJ1	415.21	376.47	243.59
WDR60	65.53	84.51	107.08
ARHGAP17	328.72	294.88	387.75
TMEM39B	136.54	190.78	178.42
SLC6A15	19.08	19.47	20.57
CRTAC1	34.06	30.65	36.94
PRPF38B	183.28	293.31	145.59
PPP1R8	861.20	960.34	705.99
FANCL	646.99	550.77	606.85
AKIRIN2	163.81	111.65	98.15
PIWIL2	40.59	38.66	47.94
CEP192	432.30	470.68	222.23
HEATR1	264.50	251.79	396.84
TRIM68	130.71	110.34	190.06
ANO10	325.29	226.87	288.45
ARMC4	12.78	13.81	14.21
RBM28	689.59	571.22	785.57
LARP1B	122.53	139.44	130.68
SRBD1	154.11	147.19	157.54
WRAP53	452.04	344.94	306.09
FIGN	68.33	146.05	54.90
FAM90A1	46.71	63.92	55.44
ANKZF1	149.23	200.69	154.81
ELP3	554.25	394.45	246.95
HAUS2	217.34	260.11	248.93
CDCA8	892.12	996.83	640.48
LRRC8D	724.68	1441.64	506.63
THAP1	240.60	187.71	155.68
ZDHHC4	112.17	135.34	145.91
RBM23	632.10	513.42	67.81
UBR7	205.19	125.31	328.15
MTPAP	324.35	359.06	436.67
PPP1R10	244.76	211.97	301.85
C19orf73	48.11	42.60	54.47
TMEM38B	323.79	211.81	337.33
DALRD3	382.28	344.82	409.81
SDAD1	426.14	403.74	337.44
ARMC1	1279.00	1159.43	819.95
DARS2	320.33	433.59	523.74
RFWD3	250.19	201.49	207.65
PPP2CA	1469.69	1019.47	1241.44
ARHGEF10L	213.71	335.04	193.94
TMEM33	327.67	316.86	425.32
PNPO	150.38	143.74	240.80
SHQ1	425.73	316.95	359.06
CEP55	334.95	335.34	418.07
CENPQ	40.06	34.62	44.04
MSL2	234.44	261.18	143.01
MRPS18A	351.72	279.13	352.04
PPP2CB	71.32	39.09	55.09
PRMT6	115.46	21.62	234.82
TBCCD1	178.23	135.50	71.67
DNAAF2	252.74	222.98	302.46
MRPS10	714.90	759.60	1003.34
INTS10	568.93	455.18	729.01
KLHL11	40.24	56.63	38.42
SEC61A2	159.74	134.69	360.81
RMDN3	421.39	459.11	524.72
RNMTL1	413.32	453.61	197.58
FAIM	217.73	179.82	231.55
LINS1	88.41	115.76	95.55
SMG8	461.86	423.05	395.96
RNF220	564.41	673.20	384.22
RIF1	278.67	167.38	187.95
DZANK1	69.83	52.40	62.25
SLC25A36	456.45	392.57	537.49
VPS13D	101.96	130.59	112.22
RIC8B	130.74	117.16	370.83
PPP2R1A	529.73	328.83	967.09
NUDT11	50.33	154.11	185.19
NADSYN1	109.21	109.16	216.45
DNAJC17	134.11	60.55	90.32
PBRM1	150.13	166.73	126.47
EVA1B	87.04	71.22	149.45
C14orf105	50.81	22.06	117.68
KIAA1551	217.22	112.49	178.11
RPRD1A	362.57	498.66	218.56
APPL2	150.64	120.05	219.46
PPP2R1B	275.78	248.60	954.90
AVP	35.63	46.02	69.70
PLEKHG6	149.09	103.46	59.69
MAP1S	106.91	93.12	125.97
